embedding_type,k,num_high_purity_clusters,percentage_high_purity_clusters,label_high_purity_clusters
description,3,0,0.0,[]
description,6,0,0.0,[]
description,9,1,11.11111111111111,['Video Games']
description,12,2,16.666666666666664,"['Video Games', 'Random Shoot']"
description,15,2,13.333333333333334,"['Video Games', 'Random Shoot']"
description,18,2,11.11111111111111,"['Random Shoot', 'Video Games']"
description,21,3,14.285714285714285,"['Video Games', 'Traditional Sports', 'Video Games']"
description,24,5,20.833333333333336,"['Video Games', 'Random Shoot', 'Traditional Sports', 'Video Games', 'Dance']"
description,27,3,11.11111111111111,"['Video Games', 'Random Shoot', 'Video Games']"
description,30,8,26.666666666666668,"['Random Shoot', 'Traditional Sports', 'Video Games', 'Video Games', 'Beauty', 'Video Games', 'Social Issues', 'Cooking']"
description,33,9,27.27272727272727,"['Random Shoot', 'Fitness', 'Cooking', 'Video Games', 'Traditional Sports', 'Beauty', 'Video Games', 'Video Games', 'Traditional Sports']"
description,36,10,27.77777777777778,"['Beauty', 'Social News', 'Lip-sync', 'Random Shoot', 'Traditional Sports', 'Traditional Sports', 'Cooking', 'Video Games', 'Video Games', 'Video Games']"
description,39,8,20.51282051282051,"['Beauty', 'Random Shoot', 'Video Games', 'Beauty', 'Traditional Sports', 'Traditional Sports', 'Cooking', 'Video Games']"
description,42,9,21.428571428571427,"['Random Shoot', 'Social Issues', 'Social News', 'Cooking', 'Video Games', 'Social Issues', 'Traditional Sports', 'Beauty', 'Traditional Sports']"
description,45,14,31.11111111111111,"['Video Games', 'Random Shoot', 'Video Games', 'Hair', 'Social News', 'Social Issues', 'Traditional Sports', 'Traditional Sports', 'Social News', 'Traditional Sports', 'Fitness', 'Traditional Sports', 'Cooking', 'Beauty']"
description,48,14,29.166666666666668,"['Outfit', 'Video Games', 'Video Games', 'Beauty', 'Cooking', 'Dance', 'Random Shoot', 'Celebrity Clips & Variety Show', 'Cooking', 'Fitness', 'Hair', 'Traditional Sports', 'Video Games', 'Traditional Sports']"
description,51,14,27.450980392156865,"['Video Games', 'Random Shoot', 'Beauty', 'Video Games', 'Celebrity Clips & Variety Show', 'Social Issues', 'Traditional Sports', 'Social Issues', 'Video Games', 'Fitness', 'Cooking', 'Traditional Sports', 'Social News', 'Traditional Sports']"
description,54,13,24.074074074074073,"['Traditional Sports', 'Video Games', 'Beauty', 'Social Issues', 'Social News', 'Video Games', 'Traditional Sports', 'Social Issues', 'Random Shoot', 'Celebrity Clips & Variety Show', 'Video Games', 'Fitness', 'Cooking']"
description,57,16,28.07017543859649,"['Traditional Sports', 'Random Shoot', 'Video Games', 'Social News', 'Cooking', 'Video Games', 'Traditional Sports', 'Dance', 'Traditional Sports', 'Outfit', 'Video Games', 'Beauty', 'Social Issues', 'Social News', 'Social Issues', 'Video Games']"
description,60,17,28.333333333333332,"['Video Games', 'Dance', 'Random Shoot', 'Video Games', 'Hair', 'Traditional Sports', 'Traditional Sports', 'Traditional Sports', 'Beauty', 'Video Games', 'Celebrity Clips & Variety Show', 'Beauty', 'Fitness', 'Social Issues', 'Social News', 'Cooking', 'Cooking']"
description,63,22,34.92063492063492,"['Random Shoot', 'Social News', 'Outfit', 'Traditional Sports', 'Dance', 'Social News', 'Video Games', 'Celebrity Clips & Variety Show', 'Social Issues', 'Traditional Sports', 'Hair', 'Video Games', 'Video Games', 'Beauty', 'Cooking', 'Pets', 'Traditional Sports', 'Social Issues', 'Outfit', 'Fitness', 'Social Issues', 'Video Games']"
description,66,13,19.696969696969695,"['Video Games', 'Lip-sync', 'Social News', 'Traditional Sports', 'Video Games', 'Cooking', 'Random Shoot', 'Beauty', 'Traditional Sports', 'Celebrity Clips & Variety Show', 'Outfit', 'Fitness', 'Video Games']"
description,69,18,26.08695652173913,"['Social Issues', 'Random Shoot', 'Dance', 'Celebrity Clips & Variety Show', 'Social News', 'Video Games', 'Social News', 'Beauty', 'Cooking', 'Video Games', 'Social Issues', 'Beauty', 'Hair', 'Traditional Sports', 'Video Games', 'Cooking', 'Fitness', 'Traditional Sports']"
description,72,21,29.166666666666668,"['Hair', 'Pets', 'Video Games', 'Cooking', 'Cars', 'Random Shoot', 'Video Games', 'Traditional Sports', 'Social News', 'Traditional Sports', 'Traditional Sports', 'Social Issues', 'Fitness', 'Dance', 'Video Games', 'Celebrity Clips & Variety Show', 'Social News', 'Dance', 'Beauty', 'Traditional Sports', 'Video Games']"
description,75,19,25.333333333333336,"['Cooking', 'Social News', 'Cooking', 'Random Shoot', 'Video Games', 'Video Games', 'Video Games', 'Traditional Sports', 'Traditional Sports', 'Traditional Sports', 'Social Issues', 'Hair', 'Video Games', 'Celebrity Clips & Variety Show', 'Video Games', 'Dance', 'Beauty', 'Social Issues', 'Fitness']"
description,78,23,29.48717948717949,"['Dance', 'Performance', 'Video Games', 'Dance', 'Outfit', 'Video Games', 'Random Shoot', 'Celebrity Clips & Variety Show', 'Hair', 'Cooking', 'Video Games', 'Beauty', 'Cooking', 'Social News', 'Fitness', 'Traditional Sports', 'Traditional Sports', 'Video Games', 'Beauty', 'Social Issues', 'Video Games', 'Video Games', 'Traditional Sports']"
description_suggested,3,0,0.0,[]
description_suggested,6,0,0.0,[]
description_suggested,9,1,11.11111111111111,['Video Games']
description_suggested,12,2,16.666666666666664,"['Traditional Sports', 'Video Games']"
description_suggested,15,5,33.33333333333333,"['Video Games', 'Fitness', 'Traditional Sports', 'Beauty', 'Traditional Sports']"
description_suggested,18,4,22.22222222222222,"['Traditional Sports', 'Video Games', 'Fitness', 'Random Shoot']"
description_suggested,21,9,42.857142857142854,"['Video Games', 'Video Games', 'Fitness', 'Traditional Sports', 'Hair', 'Traditional Sports', 'Random Shoot', 'Social News', 'Beauty']"
description_suggested,24,7,29.166666666666668,"['Beauty', 'Traditional Sports', 'Fitness', 'Random Shoot', 'Cooking', 'Hair', 'Video Games']"
description_suggested,27,8,29.629629629629626,"['Video Games', 'Video Games', 'Hair', 'Beauty', 'Fitness', 'Random Shoot', 'Traditional Sports', 'Beauty']"
description_suggested,30,11,36.666666666666664,"['Cooking', 'Hair', 'Random Shoot', 'Traditional Sports', 'Beauty', 'Social News', 'Traditional Sports', 'Video Games', 'Social Issues', 'Video Games', 'Fitness']"
description_suggested,33,9,27.27272727272727,"['Video Games', 'Random Shoot', 'Video Games', 'Traditional Sports', 'Video Games', 'Fitness', 'Social News', 'Traditional Sports', 'Beauty']"
description_suggested,36,12,33.33333333333333,"['Video Games', 'Random Shoot', 'Social Issues', 'Outfit', 'Social News', 'Traditional Sports', 'Fitness', 'Traditional Sports', 'Video Games', 'Beauty', 'Hair', 'Video Games']"
description_suggested,39,13,33.33333333333333,"['Random Shoot', 'Traditional Sports', 'Video Games', 'Traditional Sports', 'Fitness', 'Beauty', 'Video Games', 'Traditional Sports', 'Hair', 'Video Games', 'Dance', 'Beauty', 'Video Games']"
description_suggested,42,16,38.095238095238095,"['Traditional Sports', 'Random Shoot', 'Video Games', 'Fitness', 'Hair', 'Pets', 'Outfit', 'Video Games', 'Traditional Sports', 'Beauty', 'Traditional Sports', 'Cooking', 'Video Games', 'Video Games', 'Beauty', 'Social Issues']"
description_suggested,45,19,42.22222222222222,"['Random Shoot', 'Video Games', 'Outfit', 'Traditional Sports', 'Beauty', 'Video Games', 'Fitness', 'Hair', 'Pets', 'Fitness', 'Traditional Sports', 'Beauty', 'Video Games', 'Social Issues', 'Social Issues', 'Hair', 'Video Games', 'Video Games', 'Cooking']"
description_suggested,48,19,39.58333333333333,"['Hair', 'Random Shoot', 'Social Issues', 'Video Games', 'Fitness', 'Video Games', 'Traditional Sports', 'Hair', 'Beauty', 'Fitness', 'Pets', 'Video Games', 'Cooking', 'Outfit', 'Video Games', 'Celebrity Clips & Variety Show', 'Traditional Sports', 'Hair', 'Traditional Sports']"
description_suggested,51,18,35.294117647058826,"['Cars', 'Pets', 'Social Issues', 'Beauty', 'Video Games', 'Cooking', 'Hair', 'Traditional Sports', 'Social Issues', 'Fitness', 'Video Games', 'Video Games', 'Outfit', 'Traditional Sports', 'Video Games', 'Beauty', 'Random Shoot', 'Video Games']"
description_suggested,54,18,33.33333333333333,"['Random Shoot', 'Video Games', 'Traditional Sports', 'Fitness', 'Beauty', 'Hair', 'Traditional Sports', 'Outfit', 'Cooking', 'Beauty', 'Video Games', 'Video Games', 'Social Issues', 'Traditional Sports', 'Hair', 'Traditional Sports', 'Video Games', 'Hair']"
description_suggested,57,18,31.57894736842105,"['Video Games', 'Fitness', 'Video Games', 'Traditional Sports', 'Random Shoot', 'Beauty', 'Traditional Sports', 'Video Games', 'Video Games', 'Cars', 'Outfit', 'Hair', 'Traditional Sports', 'Cooking', 'Traditional Sports', 'Traditional Sports', 'Pets', 'Social News']"
description_suggested,60,15,25.0,"['Social News', 'Video Games', 'Random Shoot', 'Social Issues', 'Pranks', 'Performance', 'Cooking', 'Fitness', 'Hair', 'Video Games', 'Traditional Sports', 'Traditional Sports', 'Traditional Sports', 'Beauty', 'Pets']"
description_suggested,63,19,30.158730158730158,"['Video Games', 'Beauty', 'Video Games', 'Fitness', 'Traditional Sports', 'Social Issues', 'Social Issues', 'Random Shoot', 'Traditional Sports', 'Video Games', 'Cooking', 'Pets', 'Outfit', 'Hair', 'Hair', 'Traditional Sports', 'Traditional Sports', 'Beauty', 'Video Games']"
